>	L[313760105000259] tel	4
>	L[SHC1]	19	20.00
>	L[SHC1] tel	0
>	L[THC1]	6	25.00
>	L[THC1] tel	0
RC[313760105000198]		262	Dist (km)
>	L[313760105000201]	249	0.17
>	L[313760105000201] tel	12
RC[313760105000199]		413	Dist (km)
>	L[313760105000201]	310	0.28
>	L[313760105000201] tel	15
>	L[SHC1]	61	20.00
>	L[SHC1] tel	3
>	L[THC1]	20	25.00
>	L[THC1] tel	1
RC[313760105000200]		250	Dist (km)
>	L[313760105000201]	238	0.40
>	L[313760105000201] tel	11
RC[313760105000201]		293	Dist (km)
>	L[313760105000201]	231	0.00
>	L[SHC1]	43	20.00
>	L[SHC1] tel	2
>	L[THC1]	14	25.00
>	L[THC1] tel	0
RC[313760105000202]		372	Dist (km)
>	L[313760105000201]	279	0.26
>	L[313760105000201] tel	13
>	L[SHC1]	55	20.00
>	L[SHC1] tel	2
>	L[THC1]	18	25.00
>	L[THC1] tel	0
RC[313760105000203]		369	Dist (km)
>	L[313760105000125]	277	0.59
>	L[313760105000125] tel	13
>	L[SHC1]	55	20.00
>	L[SHC1] tel	2
>	L[THC1]	18	25.00
>	L[THC1] tel	0
RC[313760105000204]		311	Dist (km)
>	L[313760105000125]	249	0.78
>	L[313760105000125] tel	12
>	L[SHC1]	46	20.00
>	L[SHC1] tel	2
RC[313760105000205]		142	Dist (km)
>	L[313760105000235]	106	0.94
>	L[313760105000235] tel	5
>	L[SHC1]	21	20.00
>	L[SHC1] tel	1
>	L[THC1]	7	25.00
>	L[THC1] tel	0
RC[313760105000206]		109	Dist (km)
>	L[313760105000235]	82	0.68
>	L[313760105000235] tel	4
>	L[SHC1]	16	20.00
>	L[SHC1] tel	0
>	L[THC1]	5	25.00
>	L[THC1] tel	0
RC[313760105000207]		390	Dist (km)
>	L[313760105000122]	313	0.47
>	L[313760105000122] tel	15
>	L[SHC1]	57	20.00
>	L[SHC1] tel	2
RC[313760105000208]		405	Dist (km)
>	L[313760105000122]	385	0.26
>	L[313760105000122] tel	19
RC[313760105000209]		619	Dist (km)
>	L[313760105000139]	589	0.54
>	L[313760105000139] tel	29
RC[313760105000210]		48	Dist (km)
>	L[313760105000139]	45	0.85
>	L[313760105000139] tel	2
RC[313760105000211]		240	Dist (km)
>	L[313760105000239]	180	0.83
>	L[313760105000239] tel	9
>	L[SHC1]	36	20.00
>	L[SHC1] tel	1
>	L[THC1]	12	25.00
>	L[THC1] tel	0
RC[313760105000212]		154	Dist (km)
>	L[313760105000076]	123	0.82
>	L[313760105000076] tel	6
>	L[SHC1]	23	20.00
>	L[SHC1] tel	1
RC[313760105000213]		321	Dist (km)
>	L[313760105000201]	305	0.45
>	L[313760105000201] tel	15
RC[313760105000214]		371	Dist (km)
>	L[313760105000201]	353	0.58
>	L[313760105000201] tel	17
RC[313760105000215]		189	Dist (km)
>	L[313760105000285]	151	1.40
>	L[313760105000285] tel	7
>	L[SHC1]	28	20.00
>	L[SHC1] tel	1
RC[313760105000216]		178	Dist (km)
>	L[313760105000285]	142	1.29
>	L[313760105000285] tel	7
>	L[SHC1]	26	20.00
>	L[SHC1] tel	1
RC[313760105000217]		369	Dist (km)
>	L[313760105000180]	351	0.60
>	L[313760105000180] tel	17
RC[313760105000218]		561	Dist (km)
>	L[313760105000122]	534	0.40
>	L[313760105000122] tel	26
RC[313760105000219]		562	Dist (km)
>	L[313760105000135]	422	0.95
>	L[313760105000135] tel	21
>	L[SHC1]	84	20.00
>	L[SHC1] tel	4
>	L[THC1]	28	25.00
>	L[THC1] tel	1
RC[313760105000220]		287	Dist (km)
>	L[313760105000268]	273	1.11
>	L[313760105000268] tel	13
RC[313760105000221]		2	Dist (km)
>	L[313760105000135]	1	1.29
>	L[313760105000135] tel	0
>	L[SHC1]	0	20.00
>	L[SHC1] tel	0
>	L[THC1]	0	25.00
>	L[THC1] tel	0
RC[313760105000222]		164	Dist (km)
>	L[313760105000268]	156	0.60
>	L[313760105000268] tel	7
RC[313760105000223]		443	Dist (km)
>	L[313760105000268]	421	0.22
>	L[313760105000268] tel	21
RC[313760105000224]		179	Dist (km)
>	L[313760105000268]	170	0.81
>	L[313760105000268] tel	8
RC[313760105000225]		217	Dist (km)
>	L[313760105000268]	206	1.30
>	L[313760105000268] tel	10
RC[313760105000226]		399	Dist (km)
>	L[313760105000268]	380	0.94
>	L[313760105000268] tel	19
RC[313760105000227]		546	Dist (km)
>	L[313760105000268]	520	0.60
>	L[313760105000268] tel	26
RC[313760105000228]		288	Dist (km)
>	L[313760105000268]	274	0.42
>	L[313760105000268] tel	13
RC[313760105000229]		578	Dist (km)
>	L[313760105000268]	550	0.81
>	L[313760105000268] tel	27
RC[313760105000230]		90	Dist (km)
>	L[313760105000285]	85	2.54
>	L[313760105000285] tel	4
RC[313760105000231]		120	Dist (km)
>	L[313760105000285]	96	2.92
>	L[313760105000285] tel	4
>	L[SHC1]	18	20.00
>	L[SHC1] tel	0
RC[313760105000232]		326	Dist (km)
>	L[313760105000180]	310	1.20
>	L[313760105000180] tel	15
RC[313760105000233]		121	Dist (km)
>	L[313760105000135]	91	1.34
>	L[313760105000135] tel	4
>	L[SHC1]	18	20.00
>	L[SHC1] tel	0
>	L[THC1]	6	25.00
>	L[THC1] tel	0
RC[313760105000234]		388	Dist (km)
>	L[313760105000235]	291	0.35
>	L[313760105000235] tel	14
>	L[SHC1]	58	20.00
>	L[SHC1] tel	2
>	L[THC1]	19	25.00
>	L[THC1] tel	0
RC[313760105000235]		393	Dist (km)
>	L[313760105000235]	331	0.00
>	L[SHC1]	58	20.00
>	L[SHC1] tel	2
RC[313760105000236]		309	Dist (km)
>	L[313760105000132]	232	0.58
>	L[313760105000132] tel	11
>	L[SHC1]	46	20.00
>	L[SHC1] tel	2
>	L[THC1]	15	25.00
>	L[THC1] tel	0
RC[313760105000237]		411	Dist (km)
>	L[313760105000132]	391	0.70
>	L[313760105000132] tel	19
RC[313760105000238]		331	Dist (km)
>	L[313760105000080]	265	0.88
>	L[313760105000080] tel	13
>	L[SHC1]	49	20.00
>	L[SHC1] tel	2
RC[313760105000239]		443	Dist (km)
>	L[313760105000239]	443	0.00
RC[313760105000240]		240	Dist (km)
>	L[313760105000239]	228	0.78
>	L[313760105000239] tel	11
RC[313760105000241]		358	Dist (km)
>	L[313760105000239]	340	0.29
>	L[313760105000239] tel	17
RC[313760105000242]		282	Dist (km)
>	L[313760105000242]	282	0.00
RC[313760105000243]		366	Dist (km)
>	L[313760105000242]	348	0.30
>	L[313760105000242] tel	17
RC[313760105000244]		0	Dist (km)
RC[313760105000245]		111	Dist (km)
>	L[313760105000239]	89	0.83
>	L[313760105000239] tel	4
>	L[SHC1]	16	20.00
>	L[SHC1] tel	0
RC[313760105000246]		174	Dist (km)
>	L[313760105000259]	130	0.32
>	L[313760105000259] tel	6
>	L[SHC1]	26	20.00
>	L[SHC1] tel	1
>	L[THC1]	8	25.00
>	L[THC1] tel	0
RC[313760105000247]		148	Dist (km)
>	L[313760105000259]	111	0.39
>	L[313760105000259] tel	5
>	L[SHC1]	22	20.00
>	L[SHC1] tel	1
>	L[THC1]	7	25.00
>	L[THC1] tel	0
RC[313760105000248]		320	Dist (km)
>	L[313760105000076]	256	0.94
>	L[313760105000076] tel	12
>	L[SHC1]	48	20.00
>	L[SHC1] tel	2
RC[313760105000249]		177	Dist (km)
>	L[313760105000076]	168	0.93
>	L[313760105000076] tel	8
RC[313760105000250]		152	Dist (km)
>	L[313760105000122]	144	0.50
>	L[313760105000122] tel	7
RC[313760105000251]		165	Dist (km)
>	L[313760105000122]	157	0.36
>	L[313760105000122] tel	7
RC[313760105000252]		348	Dist (km)
