Loc	Team	CNES	Req	Transf	New	Res	Surp	Def
[3106202695480]	eSF	3.0	0.00	0.0	0.0	3.0	2.8	0.0
[3106202695480]	eSB	2.0	0.00	0.0	0.0	2.0	1.8	0.0
[3106202695480]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106202695480]	ACS	13.0	1.00	0.0	0.0	13.0	12.3	0.0
[3106200023345]	eSF	4.0	0.00	0.0	0.0	4.0	3.9	0.0
[3106200023345]	eSB	2.0	0.00	0.0	0.0	2.0	1.9	0.0
[3106200023345]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106200023345]	ACS	14.0	0.00	0.0	0.0	14.0	13.6	0.0
[3106200023450]	eSF	4.0	0.00	0.0	0.0	4.0	3.9	0.0
[3106200023450]	eSB	2.0	0.00	0.0	0.0	2.0	1.9	0.0
[3106200023450]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106200023450]	ACS	13.0	0.00	0.0	0.0	13.0	12.6	0.0
[3106200023426]	eSF	3.0	0.00	0.0	0.0	3.0	2.8	0.0
[3106200023426]	eSB	1.0	0.00	0.0	0.0	1.0	0.8	0.0
[3106200023426]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106200023426]	ACS	10.0	1.00	0.0	0.0	10.0	9.3	0.0
[3106200023558]	eSF	4.0	0.00	0.0	0.0	4.0	3.8	0.0
[3106200023558]	eSB	2.0	0.00	0.0	0.0	2.0	1.8	0.0
[3106200023558]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106200023558]	ACS	15.0	1.00	0.0	0.0	15.0	14.2	0.0
[3106200023531]	eSF	3.0	0.00	0.0	0.0	3.0	2.8	0.0
[3106200023531]	eSB	1.0	0.00	0.0	0.0	1.0	0.8	0.0
[3106200023531]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106200023531]	ACS	14.0	1.00	0.0	0.0	14.0	13.2	0.0
[3106200023507]	eSF	2.0	0.00	0.0	0.0	2.0	1.9	0.0
